trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.995}",35,0,-166.71899743388983,"{0: 21, 1: 2, 2: 7, 3: 4, 4: 1}",0
2,False,"{'a': 0.15, 'e': 0.99}",25,0,-52.97570329047735,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.15, 'e': 0.985}",30,0,-198.93220846561726,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.15, 'e': 0.98}",30,0,-172.2438975486974,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.15, 'e': 0.975}",20,0,-95.05069757881998,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.15, 'e': 0.97}",30,0,-128.99815214598374,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.15, 'e': 0.965}",20,0,-85.19600952366883,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.15, 'e': 0.96}",20,0,-143.83631643989798,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.15, 'e': 0.955}",25,0,-53.67472834043053,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.15, 'e': 0.95}",25,0,-57.88405809393189,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.15, 'e': 0.945}",20,0,-65.43768180749217,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.15, 'e': 0.94}",20,0,-39.51877301208263,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.15, 'e': 0.9349999999999999}",30,0,-180.84856393775343,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.15, 'e': 0.9299999999999999}",35,0,-235.8504786692632,"{0: 16, 1: 5, 2: 11, 3: 0, 4: 3}",0
15,False,"{'a': 0.15, 'e': 0.9249999999999999}",25,0,-203.4212671923932,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.15, 'e': 0.9199999999999999}",25,0,-112.50735817967536,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.15, 'e': 0.9149999999999999}",20,0,-33.738733159242614,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.15, 'e': 0.9099999999999999}",30,0,-177.8225140895586,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.15, 'e': 0.9049999999999999}",25,0,-144.5815679463051,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.15, 'e': 0.8999999999999999}",20,0,-57.05187743841968,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.15, 'e': 0.8949999999999999}",25,0,-160.91528652940994,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
22,False,"{'a': 0.15, 'e': 0.8899999999999999}",20,0,-98.0697298746003,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.15, 'e': 0.8849999999999999}",20,0,-123.73266877226179,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.15, 'e': 0.8799999999999999}",25,0,-103.0246743285001,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.15, 'e': 0.8749999999999999}",20,5,-4.269030597943293,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.15, 'e': 0.8699999999999999}",25,0,-34.93810445452207,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.15, 'e': 0.8649999999999999}",25,0,-133.03577932620738,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.15, 'e': 0.8599999999999999}",25,0,-85.52666129672788,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
29,False,"{'a': 0.15, 'e': 0.8549999999999999}",25,0,-126.08511763777685,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.15, 'e': 0.8499999999999999}",20,4,-107.07454124671047,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.15, 'e': 0.8449999999999999}",20,5,-126.8275316398967,"{0: 5, 1: 1, 2: 7, 3: 1, 4: 1}",1
32,False,"{'a': 0.15, 'e': 0.8399999999999999}",20,14,-55.12962296820108,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.15, 'e': 0.8349999999999999}",25,3,-67.18061544932237,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.15, 'e': 0.8299999999999998}",25,0,-198.92158038593902,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
35,False,"{'a': 0.15, 'e': 0.8249999999999998}",25,0,-230.3732382813992,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
36,False,"{'a': 0.15, 'e': 0.8199999999999998}",20,0,-135.836459771235,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.15, 'e': 0.8149999999999998}",25,0,-84.59306942773202,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
38,False,"{'a': 0.15, 'e': 0.8099999999999998}",25,0,-175.19290492023123,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
39,False,"{'a': 0.15, 'e': 0.8049999999999998}",25,15,-46.839205436364715,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.15, 'e': 0.7999999999999998}",35,0,-165.0599029789385,"{0: 17, 1: 7, 2: 8, 3: 2, 4: 1}",0
41,False,"{'a': 0.15, 'e': 0.7949999999999998}",25,0,-135.77579405835775,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.15, 'e': 0.7899999999999998}",30,0,-110.32896007115885,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.15, 'e': 0.7849999999999998}",20,0,-24.88555142677454,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.15, 'e': 0.7799999999999998}",30,0,-196.6454473474832,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 4}",0
45,False,"{'a': 0.15, 'e': 0.7749999999999998}",25,0,-85.32479835849506,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
46,False,"{'a': 0.15, 'e': 0.7699999999999998}",30,17,-56.528421051068655,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.15, 'e': 0.7649999999999998}",30,0,-94.08293829861123,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.15, 'e': 0.7599999999999998}",20,0,-27.9066769192507,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.15, 'e': 0.7549999999999998}",20,0,-65.14706399610199,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.15, 'e': 0.7499999999999998}",30,0,-119.84932277570522,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.15, 'e': 0.7449999999999998}",20,0,-10.616162627992287,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.15, 'e': 0.7399999999999998}",25,0,-122.0911585582027,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.15, 'e': 0.7349999999999998}",20,15,-3.786434509553292,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.15, 'e': 0.7299999999999998}",25,1,-50.17681086832309,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.15, 'e': 0.7249999999999998}",20,12,10.253025682501926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.15, 'e': 0.7199999999999998}",20,2,-85.55194827623599,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.15, 'e': 0.7149999999999997}",25,4,-82.70370095606694,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.15, 'e': 0.7099999999999997}",30,0,-150.53225445032743,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
59,False,"{'a': 0.15, 'e': 0.7049999999999997}",20,11,-51.81464045410095,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.15, 'e': 0.6999999999999997}",30,0,-46.77801506571531,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.15, 'e': 0.6949999999999997}",25,0,-35.55271412403764,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.15, 'e': 0.6899999999999997}",20,0,-162.57640611892234,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
63,False,"{'a': 0.15, 'e': 0.6849999999999997}",25,0,-117.50026550269084,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.15, 'e': 0.6799999999999997}",20,14,-44.911691294074885,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.15, 'e': 0.6749999999999997}",20,0,-55.17702424510238,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.15, 'e': 0.6699999999999997}",25,0,-82.84197772323651,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
67,False,"{'a': 0.15, 'e': 0.6649999999999997}",25,12,-18.21522036166728,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.15, 'e': 0.6599999999999997}",20,0,-107.52888764970658,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.15, 'e': 0.6549999999999997}",25,0,-61.79657410567124,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.15, 'e': 0.6499999999999997}",30,0,-63.91752761399585,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.15, 'e': 0.6449999999999997}",30,20,-3.414947923309069,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.15, 'e': 0.6399999999999997}",30,0,-136.5011457653745,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
