trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.895}",20,0,-85.78100680913752,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.15, 'e': 0.89}",20,0,-119.18225057064178,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.15, 'e': 0.885}",25,0,-72.60591766311325,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.15, 'e': 0.88}",20,0,-61.4316523735156,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.15, 'e': 0.875}",20,0,-45.04163504107193,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.15, 'e': 0.87}",20,0,-83.96910482258524,"{0: 12, 1: 4, 2: 0, 3: 4, 4: 0}",0
7,False,"{'a': 0.15, 'e': 0.865}",25,0,-108.77120913291287,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.15, 'e': 0.86}",25,0,-186.94132546708497,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.15, 'e': 0.855}",20,0,-75.64599263823754,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.15, 'e': 0.85}",20,0,-108.17269561183129,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.15, 'e': 0.845}",25,0,-85.23703567142792,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.15, 'e': 0.84}",20,7,-4.029949027646751,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.15, 'e': 0.835}",20,0,-57.95136835067837,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.15, 'e': 0.83}",30,24,7.60248545841273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.15, 'e': 0.825}",20,0,-105.31750670378723,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.15, 'e': 0.82}",25,0,-186.95777493367905,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.15, 'e': 0.815}",20,0,-24.49400707073957,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.15, 'e': 0.8099999999999999}",20,0,-25.125726039518415,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.15, 'e': 0.8049999999999999}",20,0,-119.72178997535546,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.15, 'e': 0.7999999999999999}",25,17,-51.75188906820969,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.15, 'e': 0.7949999999999999}",25,0,-131.85234722912645,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.15, 'e': 0.7899999999999999}",20,0,-62.69571971122707,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.15, 'e': 0.7849999999999999}",20,0,-103.16746593243823,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.15, 'e': 0.7799999999999999}",35,0,-160.4884241700713,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.15, 'e': 0.7749999999999999}",20,0,-80.8840726521527,"{0: 11, 1: 5, 2: 1, 3: 3, 4: 0}",0
26,False,"{'a': 0.15, 'e': 0.7699999999999999}",25,0,-95.66751492247717,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.15, 'e': 0.7649999999999999}",30,0,-110.96435909035802,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.15, 'e': 0.7599999999999999}",20,0,-73.88908285922268,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.15, 'e': 0.7549999999999999}",20,3,-36.19309136175097,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
30,False,"{'a': 0.15, 'e': 0.7499999999999999}",20,0,-47.22275274960199,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.15, 'e': 0.7449999999999999}",30,0,-135.15899023999702,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
32,False,"{'a': 0.15, 'e': 0.7399999999999999}",30,0,-173.2877239783868,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.15, 'e': 0.7349999999999999}",30,8,-52.57036922910034,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 0}",1
