trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.8366997461049,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.83819705966813,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.46008412402122,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-43.507037204189906,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.04721772073876,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-244.4310773959816,"{0: 6, 1: 3, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.38069155062468,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.69303286546801,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.34807202238719,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.15094269188646,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.16740635782935,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.95174778676054,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.82031123613415,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.95847803024776,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.52903425810281,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.65855359982098,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,5,-38.154092145521005,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-223.1913553015136,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.1474496068763,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.58419941135548,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.07356746097605,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.03596834004075,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-213.12920359903507,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,14,-109.90371086822402,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,10,-1.1483143731717158,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.4349399032079,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-73.33641425839829,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.64617805202172,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.02105939307846,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-226.87345808928274,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
